instrument,option_type,strike,expiry_type,expiry_code,signal_time,base_price,entry_level_1,entry_level_2,entry_level_3,parts_filled,part1_time,part1_price,part2_time,part2_price,part3_time,part3_price,avg_entry_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,money_pnl,lot_size,status
SENSEX,PE,77200.0,WEEK,1,2025-01-10 10:04:00+05:30,481.85,505.94250000000005,530.0350000000001,554.1274999999999,1,2025-01-10 10:06:00+05:30,505.94250000000005,,,,,505.94250000000005,2025-01-10 10:07:00+05:30,455.34825000000006,TARGET,50.59424999999999,9.999999999999996,1011.8849999999998,20,CLOSED
SENSEX,CE,77500.0,WEEK,1,2025-01-10 10:48:00+05:30,470.45,493.9725,517.495,541.0174999999999,3,2025-01-10 11:00:00+05:30,493.9725,2025-01-10 11:01:00+05:30,517.495,2025-01-10 11:04:00+05:30,541.0174999999999,517.49735225,2025-01-10 11:14:00+05:30,620.9968226999999,STOP_LOSS,-103.49947044999999,-20.0,-2069.989409,20,CLOSED
SENSEX,PE,77600.0,WEEK,1,2025-01-10 11:44:00+05:30,392.8,412.44000000000005,432.08000000000004,451.71999999999997,1,2025-01-10 11:45:00+05:30,412.44000000000005,,,,,412.44000000000005,2025-01-10 11:46:00+05:30,371.1960000000001,TARGET,41.24399999999997,9.999999999999993,824.8799999999994,20,CLOSED
SENSEX,PE,77700.0,WEEK,1,2025-01-10 12:32:00+05:30,392.0,411.6,431.20000000000005,450.79999999999995,3,2025-01-10 12:34:00+05:30,411.6,2025-01-10 12:34:00+05:30,431.20000000000005,2025-01-10 12:34:00+05:30,450.79999999999995,431.20196000000004,2025-01-10 12:42:00+05:30,388.081764,TARGET,43.12019600000002,10.000000000000004,862.4039200000004,20,CLOSED
SENSEX,PE,77600.0,WEEK,1,2025-01-10 14:05:00+05:30,378.8,397.74,416.68000000000006,435.62,3,2025-01-10 14:06:00+05:30,397.74,2025-01-10 14:11:00+05:30,416.68000000000006,2025-01-10 14:11:00+05:30,435.62,416.68189400000006,2025-01-10 14:15:00+05:30,500.01827280000003,STOP_LOSS,-83.33637879999998,-19.999999999999993,-1666.7275759999995,20,CLOSED
SENSEX,CE,76800.0,WEEK,1,2025-01-13 10:02:00+05:30,466.1,489.40500000000003,512.71,536.015,3,2025-01-13 10:02:00+05:30,489.40500000000003,2025-01-13 10:02:00+05:30,512.71,2025-01-13 10:02:00+05:30,536.015,512.7123305,2025-01-13 10:02:00+05:30,461.44109745000003,TARGET,51.27123304999998,9.999999999999995,1025.4246609999996,20,CLOSED
SENSEX,CE,77000.0,WEEK,1,2025-01-13 10:15:00+05:30,362.1,380.20500000000004,398.31000000000006,416.415,3,2025-01-13 10:29:00+05:30,380.20500000000004,2025-01-13 10:29:00+05:30,398.31000000000006,2025-01-13 10:29:00+05:30,416.415,398.3118105000001,2025-01-13 10:29:00+05:30,358.4806294500001,TARGET,39.83118105,9.999999999999998,796.623621,20,CLOSED
SENSEX,CE,77100.0,WEEK,1,2025-01-13 10:32:00+05:30,350.95,368.4975,386.045,403.5925,2,2025-01-13 10:33:00+05:30,368.4975,2025-01-13 10:33:00+05:30,386.045,,,377.27125,2025-01-13 10:38:00+05:30,339.544125,TARGET,37.727125,10.0,754.5425,20,CLOSED
SENSEX,PE,76800.0,WEEK,1,2025-01-13 11:30:00+05:30,284.0,298.2,312.40000000000003,326.59999999999997,1,2025-01-13 11:31:00+05:30,298.2,,,,,298.2,2025-01-13 11:34:00+05:30,268.38,TARGET,29.819999999999993,9.999999999999998,596.3999999999999,20,CLOSED
SENSEX,PE,76800.0,WEEK,1,2025-01-13 11:36:00+05:30,286.65,300.9825,315.315,329.6474999999999,2,2025-01-13 11:38:00+05:30,300.9825,2025-01-13 11:38:00+05:30,315.315,,,308.14875000000006,2025-01-13 11:50:00+05:30,277.3338750000001,TARGET,30.814874999999972,9.99999999999999,616.2974999999994,20,CLOSED
SENSEX,PE,76700.0,WEEK,1,2025-01-13 12:18:00+05:30,261.85,274.94250000000005,288.035,301.1275,3,2025-01-13 12:58:00+05:30,274.94250000000005,2025-01-13 12:58:00+05:30,288.035,2025-01-13 12:58:00+05:30,301.1275,288.03630925000004,2025-01-13 12:58:00+05:30,259.23267832500005,TARGET,28.803630924999993,9.999999999999996,576.0726184999999,20,CLOSED
SENSEX,PE,76700.0,WEEK,1,2025-01-13 13:08:00+05:30,269.4,282.87,296.34,309.80999999999995,3,2025-01-13 13:09:00+05:30,282.87,2025-01-13 13:12:00+05:30,296.34,2025-01-13 13:12:00+05:30,309.80999999999995,296.341347,2025-01-13 13:48:00+05:30,355.6096164,STOP_LOSS,-59.26826940000001,-20.000000000000004,-1185.3653880000002,20,CLOSED
SENSEX,PE,76600.0,WEEK,1,2025-01-14 10:02:00+05:30,121.95,128.0475,134.145,140.24249999999998,1,2025-01-14 10:03:00+05:30,128.0475,,,,,128.0475,2025-01-14 10:04:00+05:30,115.24275000000002,TARGET,12.804749999999999,9.999999999999998,256.09499999999997,20,CLOSED
SENSEX,CE,76600.0,WEEK,1,2025-01-14 10:30:00+05:30,84.7,88.935,93.17000000000002,97.405,2,2025-01-14 10:30:00+05:30,88.935,2025-01-14 10:30:00+05:30,93.17000000000002,,,91.05250000000001,2025-01-14 10:30:00+05:30,81.94725000000001,TARGET,9.105249999999998,9.999999999999996,182.10499999999996,20,CLOSED
SENSEX,CE,76700.0,WEEK,1,2025-01-14 10:47:00+05:30,64.4,67.62,70.84000000000002,74.06,3,2025-01-14 10:49:00+05:30,67.62,2025-01-14 10:49:00+05:30,70.84000000000002,2025-01-14 10:49:00+05:30,74.06,70.84032200000001,2025-01-14 10:49:00+05:30,63.75628980000001,TARGET,7.084032200000003,10.000000000000002,141.68064400000006,20,CLOSED
SENSEX,CE,76700.0,WEEK,1,2025-01-14 10:53:00+05:30,68.35,71.7675,75.185,78.60249999999999,1,2025-01-14 10:58:00+05:30,71.7675,,,,,71.7675,2025-01-14 10:59:00+05:30,64.59075,TARGET,7.176749999999998,9.999999999999998,143.53499999999997,20,CLOSED
SENSEX,CE,76800.0,WEEK,1,2025-01-14 11:07:00+05:30,87.65,92.03250000000001,96.41500000000002,100.7975,2,2025-01-14 11:07:00+05:30,92.03250000000001,2025-01-14 11:07:00+05:30,96.41500000000002,,,94.22375000000002,2025-01-14 11:07:00+05:30,84.80137500000002,TARGET,9.422375000000002,10.0,188.44750000000005,20,CLOSED
SENSEX,PE,76700.0,WEEK,1,2025-01-14 11:37:00+05:30,106.45,111.77250000000001,117.09500000000001,122.41749999999999,1,2025-01-14 11:38:00+05:30,111.77250000000001,,,,,111.77250000000001,2025-01-14 11:39:00+05:30,100.59525000000001,TARGET,11.17725,10.0,223.54500000000002,20,CLOSED
SENSEX,PE,76700.0,WEEK,1,2025-01-14 11:40:00+05:30,120.0,126.0,132.0,138.0,3,2025-01-14 11:41:00+05:30,126.0,2025-01-14 11:41:00+05:30,132.0,2025-01-14 11:41:00+05:30,138.0,132.0006,2025-01-14 11:45:00+05:30,158.40071999999998,STOP_LOSS,-26.400119999999987,-19.99999999999999,-528.0023999999997,20,CLOSED
SENSEX,CE,76600.0,WEEK,1,2025-01-14 12:40:00+05:30,62.2,65.31,68.42,71.53,1,2025-01-14 12:41:00+05:30,65.31,,,,,65.31,2025-01-14 12:41:00+05:30,58.779,TARGET,6.530999999999999,9.999999999999998,130.61999999999998,20,CLOSED
SENSEX,PE,76500.0,WEEK,1,2025-01-14 12:59:00+05:30,57.65,60.5325,63.415000000000006,66.2975,2,2025-01-14 12:59:00+05:30,60.5325,2025-01-14 12:59:00+05:30,63.415000000000006,,,61.97375000000001,2025-01-14 12:59:00+05:30,55.77637500000001,TARGET,6.197375000000001,10.0,123.94750000000002,20,CLOSED
SENSEX,CE,76500.0,WEEK,1,2025-01-14 13:14:00+05:30,69.2,72.66000000000001,76.12,79.58,1,2025-01-14 13:27:00+05:30,72.66000000000001,,,,,72.66000000000001,2025-01-14 13:27:00+05:30,65.394,TARGET,7.266000000000005,10.000000000000005,145.3200000000001,20,CLOSED
SENSEX,CE,76600.0,WEEK,1,2025-01-14 14:10:00+05:30,25.85,27.142500000000002,28.435000000000002,29.7275,1,2025-01-14 14:11:00+05:30,27.142500000000002,,,,,27.142500000000002,2025-01-14 14:11:00+05:30,24.428250000000002,TARGET,2.71425,10.0,54.285,20,CLOSED
SENSEX,CE,76600.0,WEEK,1,2025-01-14 14:15:00+05:30,35.05,36.8025,38.555,40.30749999999999,3,2025-01-14 14:15:00+05:30,36.8025,2025-01-14 14:15:00+05:30,38.555,2025-01-14 14:15:00+05:30,40.30749999999999,38.55517524999999,2025-01-14 14:15:00+05:30,34.699657724999994,TARGET,3.8555175249999962,9.999999999999993,77.11035049999992,20,CLOSED
